vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.25399,6.25444,6.28318,6.28308
0,0,0,0,6.25384,6.25421,6.28318,6.28308
0,0,0,0,6.25351,6.25397,6.28318,6.28308
0,0,0,0,6.25317,6.25384,6.28318,6.28308
0,0,0,0,6.25308,6.25378,6.28318,6.28308
0,0,0,0,6.25303,6.25373,6.28318,6.28308
0,0,0,0,6.25298,6.25367,6.28318,6.28308
0,0,0,0,6.2529,6.25357,6.28318,6.28308
0,0,0,0,6.25279,6.25344,6.28318,6.28308
0,0,0,0,6.25264,6.25323,6.28318,6.28308
0,0,0,0,6.25244,6.25288,6.28318,6.28308
0,0,0,0,6.25229,6.25265,6.28318,6.28307
0,0,0,0,6.25221,6.25261,6.28318,6.28307
0,0.00619894,0,0,6.25215,6.25258,6.28318,6.28307
0,0,0,0,6.25208,6.25254,6.28318,6.28307
0,0,0,0,6.25199,6.25248,6.28318,6.28307
0,0,0,0,6.25187,6.25238,6.28318,6.28307
0,0,0,0,6.25168,6.25222,6.28318,6.28307
0,0,0,0,6.25132,6.25195,6.28318,6.28307
0,0,0,0,6.25102,6.25169,6.28318,6.28307
0,0,0,0,6.251,6.25158,6.28318,6.28307
0,0,0,0,6.25099,6.25153,6.28318,6.28307
0,0,0,0,6.25098,6.25147,6.28318,6.28307
0,0,0,0,6.25094,6.25139,6.28318,6.28307
0,0,0,0,6.25089,6.2513,6.28318,6.28307
0,0,0,0,6.2508,6.25115,6.28318,6.28307
0,0,0,0,6.25068,6.25091,6.28318,6.28307
0,0.00629427,0,0,6.25049,6.25063,6.28318,6.28307
0,0,0,0,6.25019,6.25053,6.28318,6.28307
0,0,0,0,6.24998,6.2505,6.28318,6.28307
0,0,0,0,6.24991,6.25048,6.28318,6.28307
0,0,0,0,6.24983,6.25045,6.28318,6.28307
0,0,0,0,6.24973,6.25039,6.28318,6.28307
0,0,0,0,6.24961,6.2503,6.28318,6.28307
