time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,1.23936,-1.02842e-05,5.7904e-07,0.3,0
0.000000000,0,1.25436,-1.02755e-05,5.7904e-07,0.3,0
0.000000000,0,1.26936,-1.02668e-05,5.7904e-07,0.3,0
0.000000000,0,1.28436,-1.02581e-05,5.7904e-07,0.3,0
0.000000000,0,1.29936,-1.02494e-05,5.7904e-07,0.3,0
0.000000000,0,1.31436,-1.02408e-05,5.7904e-07,0.3,0
0.000000000,0,1.32936,-1.02321e-05,5.7904e-07,0.3,0
0.000000000,0,1.34436,-1.02234e-05,5.7904e-07,0.3,0
0.000000000,0,1.35936,-1.02147e-05,5.7904e-07,0.3,0
0.000000000,0,1.37436,-1.0206e-05,5.7904e-07,0.3,0
0.000000000,0,1.38936,-1.01973e-05,5.7904e-07,0.3,0
0.000000000,0,1.40436,-1.01886e-05,5.7904e-07,0.3,0
0.000000000,0,1.41936,-1.018e-05,5.7904e-07,0.3,0
0.000000000,0,1.43436,-1.01713e-05,5.7904e-07,0.3,0
0.000000000,0,1.44936,-1.01626e-05,5.7904e-07,0.3,0
0.000000000,0,1.46436,-1.01539e-05,5.7904e-07,0.3,0
0.000000000,0,1.47936,-1.01452e-05,5.7904e-07,0.3,0
0.000000000,0,1.49436,-1.01365e-05,5.7904e-07,0.3,0
0.000000000,0,1.50936,-1.01278e-05,5.7904e-07,0.3,0
0.000000000,0,1.52436,-1.01192e-05,5.7904e-07,0.3,0
0.000000000,0,1.53936,-1.01105e-05,5.7904e-07,0.3,0
0.000000000,0,1.55436,-1.01018e-05,5.7904e-07,0.3,0
0.000000000,0,1.56936,-1.00931e-05,5.7904e-07,0.3,0
0.000000000,0,1.58436,-1.00844e-05,5.7904e-07,0.3,0
0.000000000,0,1.59936,-1.00757e-05,5.7904e-07,0.3,0
0.000000000,0,1.61436,-1.0067e-05,5.7904e-07,0.3,0
0.000000000,0,1.62936,-1.00584e-05,5.7904e-07,0.3,0
0.000000000,0,1.64436,-1.00497e-05,5.7904e-07,0.3,0
0.000000000,0,1.65936,-1.0041e-05,5.7904e-07,0.3,0
0.000000000,0,1.67436,-1.00323e-05,5.7904e-07,0.3,0
0.000000000,0,1.68936,-1.00236e-05,5.7904e-07,0.3,0
0.000000000,0,1.70436,-1.00149e-05,5.7904e-07,0.3,0
0.000000000,0,1.71936,-1.00062e-05,5.7904e-07,0.3,0
