time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640150534.038308859,6.28042e-05,-8.59354e-07,-3.89258e-05,-6.20037e-08,-1.76687e-08,2.10349e-06
1640150534.127532244,6.28042e-05,-8.59354e-07,-3.89258e-05,-1.5074e-07,-1.11204e-08,1.99785e-06
1640150534.167525530,6.28042e-05,-8.59354e-07,-3.89258e-05,-1.87406e-07,-8.38742e-09,1.9521e-06
1640150534.207710505,6.28042e-05,-8.59354e-07,-3.89258e-05,-2.22428e-07,-5.76298e-09,1.90727e-06
1640150534.259379864,6.28042e-05,-8.59354e-07,-3.89258e-05,-2.64856e-07,-2.56069e-09,1.85116e-06
1640150534.339711428,6.27914e-05,-8.59316e-07,-3.88532e-05,-3.40137e-07,2.09369e-09,1.80881e-06
1640150534.387514114,6.28042e-05,-8.59354e-07,-3.89258e-05,-3.58209e-07,4.59061e-09,1.71927e-06
1640150534.427582979,6.28042e-05,-8.59354e-07,-3.89258e-05,-3.84078e-07,6.60855e-09,1.67984e-06
1640150534.467583418,6.28042e-05,-8.59354e-07,-3.89258e-05,-4.08475e-07,8.52603e-09,1.64146e-06
1640150534.507666349,6.28042e-05,-8.59354e-07,-3.89258e-05,-4.31508e-07,1.03527e-08,1.60388e-06
1640150534.560600042,6.27798e-05,-8.58726e-07,-3.88409e-05,-4.87988e-07,1.33509e-08,1.60388e-06
1640150534.600774527,6.28042e-05,-8.59354e-07,-3.89258e-05,-4.79874e-07,1.42489e-08,1.52001e-06
1640150534.701266050,6.27757e-05,-8.58412e-07,-3.88464e-05,-5.57277e-07,1.90279e-08,1.4795e-06
1640150534.707556963,6.28042e-05,-8.59354e-07,-3.89258e-05,-5.26956e-07,1.81541e-08,1.42911e-06
1640150534.767536402,6.28042e-05,-8.59354e-07,-3.89258e-05,-5.49769e-07,2.01023e-08,1.38042e-06
1640150534.841863632,6.27842e-05,-8.5859e-07,-3.88795e-05,-5.97951e-07,2.31795e-08,1.34889e-06
1640150534.847548962,6.28042e-05,-8.59354e-07,-3.89258e-05,-5.76505e-07,2.2448e-08,1.3181e-06
1640150534.942461729,6.27796e-05,-8.5835e-07,-3.88745e-05,-6.31663e-07,2.60445e-08,1.27709e-06
1640150534.982579231,6.27792e-05,-8.58312e-07,-3.88757e-05,-6.41817e-07,2.70096e-08,1.24788e-06
1640150535.022694111,6.2782e-05,-8.58409e-07,-3.8883e-05,-6.47452e-07,2.77594e-08,1.21589e-06
1640150535.067543030,6.28042e-05,-8.59354e-07,-3.89258e-05,-6.30362e-07,2.75476e-08,1.16091e-06
1640150535.143057108,6.27809e-05,-8.58315e-07,-3.88855e-05,-6.7004e-07,3.00997e-08,1.13445e-06
1640150535.147531271,6.28042e-05,-8.59354e-07,-3.89258e-05,-6.43645e-07,2.89652e-08,1.10854e-06
1640150535.243495703,6.27664e-05,-8.57618e-07,-3.88652e-05,-6.99263e-07,3.23969e-08,1.08323e-06
1640150535.283650637,6.27771e-05,-8.58093e-07,-3.88837e-05,-6.90988e-07,3.23739e-08,1.04879e-06
1640150535.323838472,6.27769e-05,-8.58071e-07,-3.88846e-05,-6.94476e-07,3.28717e-08,1.02482e-06
1640150535.363986731,6.27797e-05,-8.58188e-07,-3.88898e-05,-6.93997e-07,3.31661e-08,9.99011e-07
1640150535.407505274,6.28042e-05,-8.59354e-07,-3.89258e-05,-6.67588e-07,3.22201e-08,9.5408e-07
1640150535.484676123,6.27787e-05,-8.5811e-07,-3.88911e-05,-6.99444e-07,3.42862e-08,9.32324e-07
1640150535.544926405,6.27645e-05,-8.57398e-07,-3.88737e-05,-7.16042e-07,3.54853e-08,9.10941e-07
1640150535.585052490,6.27766e-05,-8.57983e-07,-3.88904e-05,-7.01951e-07,3.50342e-08,8.81346e-07
1640150535.625238419,6.27766e-05,-8.57973e-07,-3.88912e-05,-7.01243e-07,3.52295e-08,8.61214e-07
1640150535.665390491,6.27784e-05,-8.58053e-07,-3.88941e-05,-6.98031e-07,3.52881e-08,8.40316e-07
1640150535.687673330,6.28042e-05,-8.59354e-07,-3.89258e-05,-6.67155e-07,3.38438e-08,8.11695e-07
1640150535.745646238,6.27783e-05,-8.58035e-07,-3.88953e-05,-6.94366e-07,3.5512e-08,8.02349e-07
1640150535.827559710,0.00347446,-2.65594e-05,-0.000251118,0.0039048,-2.90245e-05,-0.000117483
1640150535.867586851,0.00667509,-5.62191e-05,-0.00020725,0.00749707,-6.16082e-05,-8.98006e-05
1640150535.926282406,0.00711993,-5.99675e-05,-0.00021252,0.0076607,-6.29545e-05,-8.98006e-05
1640150535.966485739,0.0118805,-0.000104693,-0.000191231,0.0127523,-0.000109972,-7.59798e-05
1640150536.006632090,0.0219324,-0.000197663,-5.84898e-05,0.0236746,-0.000209247,-3.37998e-07
1640150536.027485132,0.0328969,-0.00029128,0.000163685,0.0359348,-0.000313777,0.000125735
1640150536.087455273,0.0357024,-0.000443324,-0.012275,0.0373658,-0.00047444,-0.00696526
1640150536.167455196,0.0556146,-0.000845927,-0.0117071,0.0577288,-0.000626908,-0.00633017
1640150536.227432728,0.0591133,-0.000925193,-0.0120868,0.0589614,-0.000640351,-0.00633017
