time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640236031.414343834,0.000188001,-1.9725e-06,3.56174e-09,-5.47314e-06,-5.269e-09,9.4502e-11
1640236031.488178253,0.00018782,-1.97267e-06,3.55874e-09,-5.37261e-06,-5.00299e-09,9.40963e-11
1640236031.508262873,0.000187711,-1.97277e-06,3.56063e-09,-5.41381e-06,-4.99606e-09,9.40963e-11
1640236031.588755846,0.000187802,-1.97268e-06,3.54737e-09,-4.99156e-06,-4.42461e-09,9.32523e-11
1640236031.628938675,0.000187836,-1.97265e-06,3.54228e-09,-4.79874e-06,-4.16437e-09,9.28942e-11
1640236031.654360533,0.000188001,-1.9725e-06,3.53416e-09,-4.51093e-06,-3.85953e-09,9.24702e-11
1640236031.709339619,0.000187845,-1.97263e-06,3.536e-09,-4.49166e-06,-3.72691e-09,9.23393e-11
1640236031.754283428,0.000195855,-1.97621e-06,3.49739e-09,4.9764e-06,-7.65762e-09,9.06447e-11
1640236031.809775591,0.000195855,-1.97621e-06,3.51506e-09,4.76548e-06,-7.20519e-09,9.11544e-11
1640236031.890082598,0.000196042,-1.97649e-06,3.53074e-09,4.69031e-06,-6.90684e-09,9.14908e-11
1640236031.930225611,0.000196016,-1.97644e-06,3.54298e-09,4.51931e-06,-6.56238e-09,9.18347e-11
1640236031.954359770,0.000195855,-1.97621e-06,3.55563e-09,4.24891e-06,-6.11525e-09,9.22537e-11
1640236032.010658026,0.000196008,-1.97643e-06,3.56404e-09,4.23784e-06,-5.97593e-09,9.23825e-11
1640236032.050815344,0.000196004,-1.97642e-06,3.57386e-09,4.10186e-06,-5.69598e-09,9.26271e-11
1640236032.094348907,0.000195855,-1.97621e-06,3.58879e-09,3.79095e-06,-5.17253e-09,9.30624e-11
1640236032.191565752,0.000196002,-1.9764e-06,3.60465e-09,3.66628e-06,-4.80313e-09,9.33339e-11
1640236032.231755018,0.000195997,-1.97639e-06,3.61278e-09,3.5442e-06,-4.56004e-09,9.35083e-11
1640236032.271952391,0.000187787,-1.97611e-06,3.69096e-09,-5.81869e-06,-4.02246e-09,9.64426e-11
1640236032.294402361,0.000188004,-1.97596e-06,3.678e-09,-5.46847e-06,-3.72876e-09,9.58407e-11
1640236032.352426052,0.000187798,-1.9761e-06,3.67888e-09,-5.46181e-06,-3.59562e-09,9.56546e-11
1640236032.392631769,0.000187803,-1.97609e-06,3.67394e-09,-5.29139e-06,-3.3941e-09,9.53062e-11
1640236032.452957630,0.000187705,-1.97615e-06,3.67153e-09,-5.16314e-06,-3.18072e-09,9.49834e-11
1640236032.533353806,0.000187815,-1.97607e-06,3.66152e-09,-4.73159e-06,-2.74438e-09,9.42866e-11
1640236032.534394026,0.000188004,-1.97596e-06,3.65522e-09,-4.50854e-06,-2.61098e-09,9.40336e-11
1640236032.594398260,0.000188004,-1.97596e-06,3.65242e-09,-4.29009e-06,-2.3667e-09,9.37005e-11
1640236032.694188595,0.000196053,-1.97815e-06,3.57902e-09,4.93099e-06,-4.40924e-09,9.04668e-11
1640236032.734337330,0.000196048,-1.97814e-06,3.58991e-09,4.77803e-06,-4.18631e-09,9.0752e-11
1640236032.774499416,0.000196043,-1.97814e-06,3.60025e-09,4.62877e-06,-3.97065e-09,9.10154e-11
1640236032.794573069,0.000195858,-1.97798e-06,3.61123e-09,4.34373e-06,-3.68389e-09,9.13749e-11
1640236032.834734440,0.000195858,-1.97798e-06,3.62042e-09,4.20541e-06,-3.48741e-09,9.15915e-11
1640236032.894431353,0.000195858,-1.97798e-06,3.63332e-09,4.00569e-06,-3.20721e-09,9.18828e-11
1640236032.955276489,0.000195858,-1.97798e-06,3.64564e-09,3.80988e-06,-2.93623e-09,9.21458e-11
1640236033.035647154,0.000196008,-1.97809e-06,3.65706e-09,3.73626e-06,-2.72832e-09,9.23025e-11
1640236033.075844765,0.000187782,-1.9785e-06,3.73941e-09,-5.64051e-06,-3.03919e-09,9.5356e-11
1640236033.116050482,0.000187789,-1.9785e-06,3.73567e-09,-5.46462e-06,-2.86267e-09,9.50608e-11
1640236033.136171341,0.000188007,-1.97838e-06,3.72732e-09,-5.12854e-06,-2.64592e-09,9.46613e-11
1640236033.216512203,0.000187806,-1.97848e-06,3.72877e-09,-5.04289e-06,-2.44777e-09,9.44218e-11
1640236033.254442453,0.000188007,-1.97838e-06,3.72172e-09,-4.66316e-06,-2.19198e-09,9.40092e-11
1640236033.337106705,0.000187825,-1.97846e-06,3.72439e-09,-4.57034e-06,-1.997e-09,9.38115e-11
1640236033.377277613,0.000187831,-1.97846e-06,3.72373e-09,-4.42103e-06,-1.85774e-09,9.36399e-11
1640236033.417487144,0.000196054,-1.97519e-06,3.54851e-09,4.97543e-06,1.94858e-09,8.67143e-11
1640236033.457722902,0.000820855,-2.00205e-06,-2.05436e-08,0.00070816,-2.8281e-08,-8.45365e-10
1640236033.477795839,0.00369891,-2.45842e-06,-1.80076e-06,0.00401669,-5.54044e-07,-6.97294e-08
1640236033.534310341,0.00924508,-3.23909e-06,-8.48011e-08,0.0102636,-1.41894e-06,-3.22956e-09
1640236033.638458252,0.0187829,-2.61973e-06,0.000139702,0.0200932,-9.5017e-07,5.3812e-06
1640236033.678617716,0.0263925,3.07788e-06,0.000636417,0.0280367,2.64032e-06,2.4489e-05
1640236033.718771219,0.0349294,1.2361e-05,0.000967276,0.0367768,5.28153e-06,3.71737e-05
1640236033.758964062,0.0441571,2.20443e-05,0.000891144,0.0460199,6.5187e-06,3.41932e-05
1640236033.779080629,0.0567306,3.17004e-05,0.00046732,0.0597821,7.99306e-06,1.78792e-05
1640236033.854308605,0.0776301,2.38245e-05,-0.00104546,0.0801392,1.26012e-05,-4.02831e-05
1640236033.939877748,0.0924799,2.01175e-06,-0.00163679,0.0914616,1.65819e-05,-6.2874e-05
1640236033.980046988,0.187468,0.00364199,0.180395,0.195585,-0.000887229,0.00694298
1640236034.020204544,0.199884,0.00421747,0.100899,0.20338,0.000216037,0.00386959
1640236034.060350180,0.212516,0.00534416,0.0949782,0.211276,0.000316756,0.00363373
1640236034.080472946,0.222945,0.0062721,0.0922997,0.21991,0.000374773,0.00352504
1640236034.134350300,0.241951,0.00792154,0.0887762,0.232245,0.000460401,0.00337369
1640236034.201145887,0.281673,0.0107254,0.0733485,0.264872,0.000816461,0.00271565
1640236034.281520367,0.30538,0.0119185,0.0641983,0.274468,0.00107517,0.00230947
1640236034.321720123,0.329359,0.0132268,0.0596833,0.292619,0.00127074,0.00209783
1640236034.341801882,0.335675,0.0128992,0.0497397,0.294987,0.00155241,0.00159928
1640236034.394250631,0.353494,0.0130618,0.0402066,0.302556,0.0018401,0.00107702
1640236034.442306280,0.367983,0.013442,0.0372364,0.307024,0.00194032,0.000900445
